FECHA;HORA;VOLTAJE (VAC);CORRIENTE  (A);POTENCIA (W);TEMPERATURA (°C);VELOCIDAD MECANICA (RPM);VIBRACIONES EJE X;NORMAL ;REVISION ;MANTENIMIENTO ;FALLA;;;;;;;;;
24/2/2021;15:00:36;95;1,4;133;31,9;3185;223;;1;;;;;;;;;;;
24/2/2021;15:00:37;95;1,2;114;32,5;3200;221;;1;;;;;;;;;;;
24/2/2021;15:00:38;95;1,4;133;33,1;3200;226;;1;;;;;;;;;;;
24/2/2021;15:00:39;95;1,3;123,5;32,1;3250;225;;1;;;;;;;;;;;
24/2/2021;15:00:40;95;1,2;114;32,7;3200;223;;1;;;;;;;;;;;
24/2/2021;15:00:41;95;1,1;104,5;32,3;3225;224;;1;;;;;;;;;;;
24/2/2021;15:00:42;95;1,1;104,5;31,7;3195;223;;1;;;;;;;;;;;
24/2/2021;15:00:43;95;1,4;133;31,8;3185;224;;1;;;;;;;;;;;
24/2/2021;15:00:44;95;1,1;104,5;31,9;3200;223;;1;;;;;;;;;;;
24/2/2021;15:00:45;95;1,4;133;32,5;3195;224;;1;;;;;;;;;;;
24/2/2021;15:00:46;95;1,2;114;32,7;3190;223;;1;;;;;;;;;;;
24/2/2021;15:00:47;95;1,4;133;32,8;3185;221;;1;;;;;;;;;;;
24/2/2021;15:00:48;95;1,3;123,5;31,8;3195;225;;1;;;;;;;;;;;
24/2/2021;15:00:49;95;1,2;114;32,9;3200;223;;1;;;;;;;;;;;
24/2/2021;15:00:50;95;1,1;104,5;32,5;3225;212;;1;;;;;;;;;;;
24/2/2021;15:00:51;95;1,1;104,5;32,7;3195;221;;1;;;;;;;;;;;
24/2/2021;15:00:52;95;1,2;114;32,8;3185;222;;1;;;;;;;;;;;
24/2/2021;15:00:53;95;1,4;133;31,8;3200;221;;1;;;;;;;;;;;
24/2/2021;15:00:54;95;1,3;123,5;32,9;3195;219;;1;;;;;;;;;;;
24/2/2021;15:00:55;95;1,2;114;31,9;3190;218;;1;;;;;;;;;;;
24/2/2021;15:00:56;95;1,1;104,5;32,5;3200;221;;1;;;;;;;;;;;
24/2/2021;15:00:57;95;1,1;104,5;33,1;3225;218;;1;;;;;;;;;;;
24/2/2021;15:00:58;95;1,4;133;32,1;3195;220;;1;;;;;;;;;;;
24/2/2021;15:00:59;95;1,1;104,5;32,7;3185;218;;1;;;;;;;;;;;
24/2/2021;15:01:00;95;1,1;104,5;32,3;3200;216;;1;;;;;;;;;;;
24/2/2021;15:01:01;95;1,4;133;31,7;3195;217;;1;;;;;;;;;;;
24/2/2021;15:01:02;95;1,3;123,5;31,8;3190;226;;1;;;;;;;;;;;
24/2/2021;15:01:03;95;1,4;133;31,9;3185;221;;1;;;;;;;;;;;
24/2/2021;15:01:04;95;1,1;104,5;32,5;3195;223;;1;;;;;;;;;;;
24/2/2021;15:01:05;95;1,4;133;32,7;3200;223;;1;;;;;;;;;;;
24/2/2021;15:01:06;95;1,2;114;32,8;3225;224;;1;;;;;;;;;;;
24/2/2021;15:01:07;95;1,4;133;31,8;3195;226;;1;;;;;;;;;;;
24/2/2021;15:01:08;95;1,3;123,5;32,9;3200;225;;1;;;;;;;;;;;
24/2/2021;15:01:09;95;1,2;114;31,9;3195;221;;1;;;;;;;;;;;
24/2/2021;15:01:10;95;1,1;104,5;32,5;3190;223;;1;;;;;;;;;;;
24/2/2021;15:01:11;95;1,1;104,5;33,1;3185;221;;1;;;;;;;;;;;
24/2/2021;15:01:12;95;1,4;133;32,1;3195;226;;1;;;;;;;;;;;
24/2/2021;15:01:13;95;1,3;123,5;33,1;3200;225;;1;;;;;;;;;;;
24/2/2021;15:01:14;95;1,2;114;31,6;3225;223;;1;;;;;;;;;;;
24/2/2021;15:01:15;95;1,1;104,5;31,8;3195;224;;1;;;;;;;;;;;
24/2/2021;15:01:16;95;1,1;104,5;31,9;3185;223;;1;;;;;;;;;;;
24/2/2021;15:01:17;95;1,4;133;32,5;3200;224;;1;;;;;;;;;;;
24/2/2021;15:01:18;95;1,1;104,5;32,8;3195;223;;1;;;;;;;;;;;
24/2/2021;15:01:19;95;1,1;104,5;31,8;3190;224;;1;;;;;;;;;;;
24/2/2021;15:01:20;95;1,4;133;32,9;3200;223;;1;;;;;;;;;;;
24/2/2021;15:01:21;95;1,3;123,5;31,9;3225;221;;1;;;;;;;;;;;
24/2/2021;15:01:22;95;1,4;133;32,5;3195;225;;1;;;;;;;;;;;
24/2/2021;15:01:23;95;1,1;104,5;33,1;3185;223;;1;;;;;;;;;;;
24/2/2021;15:01:24;95;1,4;133;32,1;3200;212;;1;;;;;;;;;;;
24/2/2021;15:01:25;95;1,2;114;33,1;3200;221;;1;;;;;;;;;;;
24/2/2021;15:01:26;95;1,4;133;31,6;3250;222;;1;;;;;;;;;;;
24/2/2021;15:01:27;95;1,3;123,5;31,8;3200;221;;1;;;;;;;;;;;
24/2/2021;15:01:28;95;1,2;114;31,9;3225;219;;1;;;;;;;;;;;
24/2/2021;15:01:29;95;1,3;123,5;32,5;3195;218;;1;;;;;;;;;;;
24/2/2021;15:01:30;95;1,2;114;32,7;3185;221;;1;;;;;;;;;;;
24/2/2021;15:01:31;95;1,1;104,5;32,8;3200;218;;1;;;;;;;;;;;
24/2/2021;15:01:32;95;1,1;104,5;31,8;3195;220;;1;;;;;;;;;;;
24/2/2021;15:01:33;95;1,4;133;32,9;3190;218;;1;;;;;;;;;;;
24/2/2021;15:01:34;95;1,1;104,5;31,9;3185;216;;1;;;;;;;;;;;
24/2/2021;15:01:35;95;1,1;104,5;32,5;3200;217;;1;;;;;;;;;;;
24/2/2021;15:01:36;95;1,4;133;33,1;3250;221;;1;;;;;;;;;;;
24/2/2021;15:01:37;95;1,3;123,5;32,1;3200;219;;1;;;;;;;;;;;
24/2/2021;15:01:38;95;1,4;133;32,7;3225;218;;1;;;;;;;;;;;
24/2/2021;15:01:39;95;1,1;104,5;32,3;3195;221;;1;;;;;;;;;;;
24/2/2021;15:01:40;95;1,4;133;31,7;3185;218;;1;;;;;;;;;;;
24/2/2021;15:01:41;95;1,2;114;31,8;3200;220;;1;;;;;;;;;;;
24/2/2021;15:01:42;95;1,4;133;31,9;3195;218;;1;;;;;;;;;;;
24/2/2021;15:01:43;95;1,3;123,5;32,5;3190;216;;1;;;;;;;;;;;
24/2/2021;15:01:44;95;1,2;114;32,7;3185;217;;1;;;;;;;;;;;
24/2/2021;15:01:45;95;1,4;133;32,8;3195;226;;1;;;;;;;;;;;
24/2/2021;15:01:46;95;1,2;114;31,8;3200;221;;1;;;;;;;;;;;
24/2/2021;15:01:47;95;1,4;133;32,9;3225;223;;1;;;;;;;;;;;
24/2/2021;15:01:48;95;1,3;123,5;32,5;3195;223;;1;;;;;;;;;;;
24/2/2021;15:01:49;95;1,2;114;32,7;3185;224;;1;;;;;;;;;;;
24/2/2021;15:01:50;95;1,1;104,5;32,8;3200;226;;1;;;;;;;;;;;
24/2/2021;15:01:51;95;1,1;104,5;31,8;3195;225;;1;;;;;;;;;;;
24/2/2021;15:01:52;95;1,4;133;32,9;3190;221;;1;;;;;;;;;;;
24/2/2021;15:01:53;95;1,1;104,5;31,9;3200;223;;1;;;;;;;;;;;
24/2/2021;15:01:54;95;1,4;133;32,5;3225;221;;1;;;;;;;;;;;
24/2/2021;15:01:55;95;1,2;114;33,1;3195;223;;1;;;;;;;;;;;
24/2/2021;15:01:56;95;1,4;133;32,1;3185;223;;1;;;;;;;;;;;
24/2/2021;15:01:57;95;1,3;123,5;32,7;3200;223;;1;;;;;;;;;;;
24/2/2021;15:01:58;95;1,2;114;32,3;3195;221;;1;;;;;;;;;;;
24/2/2021;15:01:59;95;1,1;104,5;31,7;3190;221;;1;;;;;;;;;;;
24/2/2021;15:02:00;95;1,1;104,5;31,8;3185;223;;1;;;;;;;;;;;
24/2/2021;15:02:01;95;1,4;133;31,9;3195;222;;1;;;;;;;;;;;
24/2/2021;15:02:02;95;1,2;114;32,5;3200;225;;1;;;;;;;;;;;
24/2/2021;15:02:03;95;1,4;133;32,7;3225;223;;1;;;;;;;;;;;
24/2/2021;15:02:04;95;1,3;123,5;32,8;3195;221;;1;;;;;;;;;;;
24/2/2021;15:02:05;95;1,2;114;31,8;3185;223;;1;;;;;;;;;;;
24/2/2021;15:02:06;95;1,1;104,5;32,9;3200;221;;1;;;;;;;;;;;
24/2/2021;15:02:07;95;1,1;104,5;31,9;3195;225;;1;;;;;;;;;;;
24/2/2021;15:02:08;95;1,4;133;32,5;3190;226;;1;;;;;;;;;;;
24/2/2021;15:02:09;95;1,1;104,5;33,1;3200;221;;1;;;;;;;;;;;
24/2/2021;15:02:10;95;1,1;104,5;32,1;3225;223;;1;;;;;;;;;;;
24/2/2021;15:02:11;95;1,4;133;33,1;3195;223;;1;;;;;;;;;;;
24/2/2021;15:02:12;95;1,3;123,5;31,6;3185;224;;1;;;;;;;;;;;
24/2/2021;15:02:13;95;1,4;133;32,8;3200;226;;1;;;;;;;;;;;
24/2/2021;15:02:14;95;1,1;104,5;31,8;3200;225;;1;;;;;;;;;;;
24/2/2021;15:02:15;95;1,4;133;32,9;3250;221;;1;;;;;;;;;;;
24/2/2021;15:02:16;95;1,2;114;31,9;3200;223;;1;;;;;;;;;;;
24/2/2021;15:02:17;95;1,4;133;32,5;3225;221;;1;;;;;;;;;;;
24/2/2021;15:02:18;95;1,3;123,5;33,1;3195;226;;1;;;;;;;;;;;
24/2/2021;15:02:19;95;1,2;114;32,1;3185;225;;1;;;;;;;;;;;
24/2/2021;15:02:20;95;1,1;104,5;33,1;3200;223;;1;;;;;;;;;;;
24/2/2021;15:02:21;95;1,1;104,5;31,6;3195;224;;1;;;;;;;;;;;
24/2/2021;15:02:22;95;1,4;133;31,8;3190;223;;1;;;;;;;;;;;
24/2/2021;15:02:23;95;1,1;104,5;31,9;3185;224;;1;;;;;;;;;;;
24/2/2021;15:02:24;95;1,4;133;32,5;3195;223;;1;;;;;;;;;;;
24/2/2021;15:02:25;95;1,2;114;32,7;3200;224;;1;;;;;;;;;;;
24/2/2021;15:02:26;95;1,4;133;32,8;3225;223;;1;;;;;;;;;;;
24/2/2021;15:02:27;95;1,3;123,5;31,8;3195;221;;1;;;;;;;;;;;
24/2/2021;15:02:28;95;1,2;114;32,9;3185;225;;1;;;;;;;;;;;
24/2/2021;15:02:29;95;1,1;104,5;31,9;3200;223;;1;;;;;;;;;;;
24/2/2021;15:02:30;95;1,1;104,5;32,5;3195;212;;1;;;;;;;;;;;
24/2/2021;15:02:31;95;1,2;114;33,1;3190;221;;1;;;;;;;;;;;
24/2/2021;15:02:32;95;1,4;133;32,1;3200;222;;1;;;;;;;;;;;
24/2/2021;15:02:33;95;1,3;123,5;32,7;3225;221;;1;;;;;;;;;;;
24/2/2021;15:02:34;95;1,2;114;32,3;3195;219;;1;;;;;;;;;;;
24/2/2021;15:02:35;95;1,1;104,5;31,7;3185;218;;1;;;;;;;;;;;
24/2/2021;15:02:36;95;1,1;104,5;31,8;3200;221;;1;;;;;;;;;;;
24/2/2021;15:02:37;95;1,4;133;31,9;3195;218;;1;;;;;;;;;;;
24/2/2021;15:02:38;95;1,1;104,5;32,5;3190;220;;1;;;;;;;;;;;
24/2/2021;15:02:39;95;1,3;123,5;32,7;3185;218;;1;;;;;;;;;;;
24/2/2021;15:02:40;95;1,2;114;32,8;3195;216;;1;;;;;;;;;;;
24/2/2021;15:02:41;95;1,1;104,5;31,7;3200;217;;1;;;;;;;;;;;
24/2/2021;15:02:42;95;1,4;133;31,8;3225;226;;1;;;;;;;;;;;
24/2/2021;15:02:43;95;1,3;123,5;31,9;3195;221;;1;;;;;;;;;;;
24/2/2021;15:02:44;95;1,4;133;32,5;3200;223;;1;;;;;;;;;;;
24/2/2021;15:02:45;95;1,1;104,5;32,7;3195;223;;1;;;;;;;;;;;
24/2/2021;15:02:46;95;1,4;133;32,8;3190;224;;1;;;;;;;;;;;
24/2/2021;15:02:47;95;1,2;114;31,8;3185;226;;1;;;;;;;;;;;
24/2/2021;15:02:48;95;1,4;133;32,9;3195;225;;1;;;;;;;;;;;
24/2/2021;15:02:49;95;1,3;123,5;32,5;3200;221;;1;;;;;;;;;;;
24/2/2021;15:02:50;95;1,2;114;32,7;3225;223;;1;;;;;;;;;;;
24/2/2021;15:02:51;95;1,1;104,5;32,8;3195;221;;1;;;;;;;;;;;
24/2/2021;15:02:52;95;1,1;104,5;31,8;3185;226;;1;;;;;;;;;;;
24/2/2021;15:02:53;95;1,4;133;32,9;3200;225;;1;;;;;;;;;;;
24/2/2021;15:02:54;95;1,1;104,5;31,9;3195;223;;1;;;;;;;;;;;
24/2/2021;15:02:55;95;1,4;133;32,5;3190;224;;1;;;;;;;;;;;
24/2/2021;15:02:56;95;1,2;114;33,1;3200;223;;1;;;;;;;;;;;
24/2/2021;15:02:57;95;1,4;133;32,1;3225;224;;1;;;;;;;;;;;
24/2/2021;15:02:58;95;1,3;123,5;32,7;3195;223;;1;;;;;;;;;;;
24/2/2021;15:02:59;95;1,2;114;32,3;3185;224;;1;;;;;;;;;;;
24/2/2021;15:03:00;95;1,1;104,5;31,7;3200;223;;1;;;;;;;;;;;
24/2/2021;15:03:01;95;1,1;104,5;31,8;3200;221;;1;;;;;;;;;;;
24/2/2021;15:03:02;95;1,4;133;31,9;3250;225;;1;;;;;;;;;;;
24/2/2021;15:03:03;95;1,2;114;32,5;3200;223;;1;;;;;;;;;;;
24/2/2021;15:03:04;95;1,4;133;32,7;3225;212;;1;;;;;;;;;;;
24/2/2021;15:03:05;95;1,3;123,5;32,8;3195;221;;1;;;;;;;;;;;
24/2/2021;15:03:06;95;1,2;114;31,8;3185;222;;1;;;;;;;;;;;
24/2/2021;15:03:07;95;1,1;104,5;31,8;3200;221;;1;;;;;;;;;;;
24/2/2021;15:03:08;95;1,1;104,5;31,9;3195;219;;1;;;;;;;;;;;
24/2/2021;15:03:09;95;1,4;133;32,5;3190;218;;1;;;;;;;;;;;
24/2/2021;15:03:10;95;1,1;104,5;32,7;3185;221;;1;;;;;;;;;;;
24/2/2021;15:03:11;95;1,1;104,5;32,8;3195;218;;1;;;;;;;;;;;
24/2/2021;15:03:12;95;1,4;133;31,8;3200;220;;1;;;;;;;;;;;
24/2/2021;15:03:13;95;1,3;123,5;32,9;3225;218;;1;;;;;;;;;;;
24/2/2021;15:03:14;95;1,4;133;31,9;3195;216;;1;;;;;;;;;;;
24/2/2021;15:03:15;95;1,1;104,5;32,5;3185;217;;1;;;;;;;;;;;
24/2/2021;15:03:16;95;1,4;133;33,1;3200;221;;1;;;;;;;;;;;
24/2/2021;15:03:17;95;1,2;114;32,1;3195;219;;1;;;;;;;;;;;
24/2/2021;15:03:18;95;1,4;133;32,7;3190;218;;1;;;;;;;;;;;
24/2/2021;15:03:19;95;1,3;123,5;32,3;3200;221;;1;;;;;;;;;;;
24/2/2021;15:03:20;95;1,2;114;31,7;3225;218;;1;;;;;;;;;;;
24/2/2021;15:03:21;95;1,1;104,5;31,8;3195;220;;1;;;;;;;;;;;
24/2/2021;15:03:22;95;1,1;104,5;31,9;3185;218;;1;;;;;;;;;;;
24/2/2021;15:03:23;95;1,4;133;32,5;3200;216;;1;;;;;;;;;;;
24/2/2021;15:03:24;95;1,1;104,5;32,7;3195;217;;1;;;;;;;;;;;
24/2/2021;15:03:25;95;1,4;133;32,8;3190;226;;1;;;;;;;;;;;
24/2/2021;15:03:26;95;1,2;114;31,8;3185;221;;1;;;;;;;;;;;
24/2/2021;15:03:27;95;1,4;133;32,9;3195;223;;1;;;;;;;;;;;
24/2/2021;15:03:28;95;1,3;123,5;31,9;3200;223;;1;;;;;;;;;;;
24/2/2021;15:03:29;95;1,2;114;32,5;3225;224;;1;;;;;;;;;;;
24/2/2021;15:03:30;95;1,1;104,5;33,1;3195;226;;1;;;;;;;;;;;
24/2/2021;15:03:31;95;1,1;104,5;32,1;3200;225;;1;;;;;;;;;;;
24/2/2021;15:03:32;95;1,2;114;33,1;3195;221;;1;;;;;;;;;;;
24/2/2021;15:03:33;95;1,4;133;31,6;3190;223;;1;;;;;;;;;;;
24/2/2021;15:03:34;95;1,3;123,5;31,8;3185;221;;1;;;;;;;;;;;
24/2/2021;15:03:35;95;1,2;114;31,9;3195;225;;1;;;;;;;;;;;
24/2/2021;15:03:36;95;1,1;104,5;32,5;3200;221;;1;;;;;;;;;;;
24/2/2021;15:03:37;95;1,1;104,5;32,7;3225;223;;1;;;;;;;;;;;
24/2/2021;15:03:38;95;1,4;133;32,8;3195;224;;1;;;;;;;;;;;
24/2/2021;15:03:39;95;1,1;104,5;31,8;3185;221;;1;;;;;;;;;;;
24/2/2021;15:03:40;95;1,1;104,5;32,9;3200;223;;1;;;;;;;;;;;
24/2/2021;15:03:41;95;1,4;133;31,9;3195;225;;1;;;;;;;;;;;
24/2/2021;15:03:42;95;1,3;123,5;32,5;3190;221;;1;;;;;;;;;;;
24/2/2021;15:03:43;95;1,4;133;33,1;3200;223;;1;;;;;;;;;;;
24/2/2021;15:03:44;95;1,1;104,5;32,1;3225;222;;1;;;;;;;;;;;
24/2/2021;15:03:45;95;1,4;133;32,7;3195;221;;1;;;;;;;;;;;
24/2/2021;15:03:46;95;1,2;114;32,3;3185;223;;1;;;;;;;;;;;
24/2/2021;15:03:47;95;1,4;133;31,7;3200;225;;1;;;;;;;;;;;
24/2/2021;15:03:48;95;1,3;123,5;31,8;3200;224;;1;;;;;;;;;;;
24/2/2021;15:03:49;95;1,2;114;31,9;3250;223;;1;;;;;;;;;;;
24/2/2021;15:03:50;95;1,1;104,5;32,5;3200;221;;1;;;;;;;;;;;
24/2/2021;15:03:51;95;1,1;104,5;32,7;3225;223;;1;;;;;;;;;;;
24/2/2021;15:03:52;95;1,4;133;32,8;3195;223;;1;;;;;;;;;;;
24/2/2021;15:03:53;95;1,3;123,5;31,8;3185;223;;1;;;;;;;;;;;
24/2/2021;15:03:54;95;1,2;114;32,9;3200;221;;1;;;;;;;;;;;
24/2/2021;15:03:55;95;1,1;104,5;32,5;3195;221;;1;;;;;;;;;;;
24/2/2021;15:03:56;95;1,1;104,5;32,7;3190;223;;1;;;;;;;;;;;
24/2/2021;15:03:57;95;1,4;133;32,8;3185;222;;1;;;;;;;;;;;
24/2/2021;15:03:58;95;1,1;104,5;31,8;3200;225;;1;;;;;;;;;;;
24/2/2021;15:03:59;95;1,1;104,5;32,9;3250;223;;1;;;;;;;;;;;
24/2/2021;15:04:00;95;1,4;133;31,9;3200;221;;1;;;;;;;;;;;
24/2/2021;15:04:01;95;1,3;123,5;32,5;3225;223;;1;;;;;;;;;;;
24/2/2021;15:04:02;95;1,4;133;33,1;3195;221;;1;;;;;;;;;;;
24/2/2021;15:04:03;95;1,1;104,5;32,1;3185;225;;1;;;;;;;;;;;
24/2/2021;15:04:04;95;1,4;133;32,7;3200;226;;1;;;;;;;;;;;
24/2/2021;15:04:05;95;1,2;114;32,3;3195;221;;1;;;;;;;;;;;
24/2/2021;15:04:06;95;1,4;133;31,7;3190;223;;1;;;;;;;;;;;
24/2/2021;15:04:07;95;1,3;123,5;31,8;3185;223;;1;;;;;;;;;;;
24/2/2021;15:04:08;95;1,2;114;31,9;3195;224;;1;;;;;;;;;;;
24/2/2021;15:04:09;95;1,3;123,5;32,5;3200;226;;1;;;;;;;;;;;
24/2/2021;15:04:10;95;1,2;114;32,7;3225;225;;1;;;;;;;;;;;
24/2/2021;15:04:11;95;1,1;104,5;32,8;3195;221;;1;;;;;;;;;;;
24/2/2021;15:04:12;95;1,1;104,5;31,8;3185;223;;1;;;;;;;;;;;
24/2/2021;15:04:13;95;1,4;133;32,9;3200;221;;1;;;;;;;;;;;
24/2/2021;15:04:14;95;1,1;104,5;31,9;3195;226;;1;;;;;;;;;;;
24/2/2021;15:04:15;95;1,1;104,5;32,5;3190;225;;1;;;;;;;;;;;
24/2/2021;15:04:16;95;1,4;133;33,1;3200;223;;1;;;;;;;;;;;
24/2/2021;15:04:17;95;1,3;123,5;32,1;3225;224;;1;;;;;;;;;;;
24/2/2021;15:04:18;95;1,4;133;33,1;3195;223;;1;;;;;;;;;;;
24/2/2021;15:04:19;95;1,1;104,5;31,6;3185;224;;1;;;;;;;;;;;
24/2/2021;15:04:20;95;1,4;133;31,8;3200;223;;1;;;;;;;;;;;
24/2/2021;15:04:21;95;1,2;114;31,9;3195;224;;1;;;;;;;;;;;
24/2/2021;15:04:22;95;1,4;133;32,5;3190;223;;1;;;;;;;;;;;
24/2/2021;15:04:23;95;1,3;123,5;32,8;3185;221;;1;;;;;;;;;;;
24/2/2021;15:04:24;95;1,2;114;31,8;3195;225;;1;;;;;;;;;;;
24/2/2021;15:04:25;95;1,4;133;32,9;3200;223;;1;;;;;;;;;;;
24/2/2021;15:04:26;95;1,2;114;31,9;3225;212;;1;;;;;;;;;;;
24/2/2021;15:04:27;95;1,4;133;32,5;3195;221;;1;;;;;;;;;;;
24/2/2021;15:04:28;95;1,3;123,5;33,1;3185;222;;1;;;;;;;;;;;
24/2/2021;15:04:29;95;1,2;114;32,1;3200;221;;1;;;;;;;;;;;
24/2/2021;15:04:30;95;1,1;104,5;33,1;3195;219;;1;;;;;;;;;;;
24/2/2021;15:04:31;95;1,1;104,5;31,6;3190;218;;1;;;;;;;;;;;
24/2/2021;15:04:32;95;1,4;133;31,8;3200;221;;1;;;;;;;;;;;
24/2/2021;15:04:33;95;1,1;104,5;31,9;3225;218;;1;;;;;;;;;;;
24/2/2021;15:04:34;95;1,4;133;32,5;3195;220;;1;;;;;;;;;;;
24/2/2021;15:04:35;95;1,2;114;32,7;3185;218;;1;;;;;;;;;;;
24/2/2021;15:04:36;95;1,4;133;32,8;3200;216;;1;;;;;;;;;;;
24/2/2021;15:04:37;95;1,3;123,5;31,8;3200;217;;1;;;;;;;;;;;
24/2/2021;15:04:38;95;1,2;114;32,9;3250;226;;1;;;;;;;;;;;
24/2/2021;15:04:39;95;1,1;104,5;31,9;3200;221;;1;;;;;;;;;;;
24/2/2021;15:04:40;95;1,1;104,5;32,5;3225;223;;1;;;;;;;;;;;
24/2/2021;15:04:41;95;1,4;133;33,1;3195;223;;1;;;;;;;;;;;
24/2/2021;15:04:42;95;1,2;114;32,1;3185;224;;1;;;;;;;;;;;
24/2/2021;15:04:43;95;1,4;133;32,7;3200;226;;1;;;;;;;;;;;
24/2/2021;15:04:44;95;1,3;123,5;32,3;3195;225;;1;;;;;;;;;;;
24/2/2021;15:04:45;95;1,2;114;31,7;3190;221;;1;;;;;;;;;;;
24/2/2021;15:04:46;95;1,1;104,5;31,8;3185;223;;1;;;;;;;;;;;
24/2/2021;15:04:47;95;1,1;104,5;31,9;3195;221;;1;;;;;;;;;;;
24/2/2021;15:04:48;95;1,4;133;32,5;3200;226;;1;;;;;;;;;;;
24/2/2021;15:04:49;95;1,1;104,5;32,7;3225;225;;1;;;;;;;;;;;
24/2/2021;15:04:50;95;1,1;104,5;32,8;3195;223;;1;;;;;;;;;;;
24/2/2021;15:04:51;95;1,4;133;31,8;3185;224;;1;;;;;;;;;;;
24/2/2021;15:04:52;95;1,3;123,5;32,9;3200;223;;1;;;;;;;;;;;
24/2/2021;15:04:53;95;1,4;133;32,5;3195;224;;1;;;;;;;;;;;
24/2/2021;15:04:54;95;1,1;104,5;32,7;3190;223;;1;;;;;;;;;;;
24/2/2021;15:04:55;95;1,4;133;32,8;3200;224;;1;;;;;;;;;;;
24/2/2021;15:04:56;95;1,2;114;31,8;3225;223;;1;;;;;;;;;;;
24/2/2021;15:04:57;95;1,4;133;32,9;3195;221;;1;;;;;;;;;;;
24/2/2021;15:04:58;95;1,3;123,5;31,9;3185;225;;1;;;;;;;;;;;
24/2/2021;15:04:59;95;1,2;114;32,5;3200;223;;1;;;;;;;;;;;
24/2/2021;15:05:00;95;1,1;104,5;33,1;3195;212;;1;;;;;;;;;;;
24/2/2021;15:05:01;95;1,1;104,5;32,1;3190;221;;1;;;;;;;;;;;
24/2/2021;15:05:02;95;1,4;133;32,7;3185;222;;1;;;;;;;;;;;
24/2/2021;15:05:03;95;1,1;104,5;32,3;3195;221;;1;;;;;;;;;;;
