FECHA;HORA;VOLTAJE (VAC);CORRIENTE  (A);POTENCIA (W);TEMPERATURA (°C);VELOCIDAD MECANICA (RPM);VIBRACIONES EJE X;NORMAL ;REVISION ;MANTENIMIENTO ;FALLA
26/2/2021;15:03:55;90;1,4;126;33,1;2950;247;;1;;
26/2/2021;15:03:56;90;1,3;117;32,3;3000;245;;1;;
26/2/2021;15:03:57;90;1,2;108;32,7;3125;255;;1;;
26/2/2021;15:03:58;90;1,3;117;32,8;3000;265;;1;;
26/2/2021;15:03:59;90;1,1;99;32,3;3100;245;;1;;
26/2/2021;15:04:00;90;1,4;126;32,7;2950;274;;1;;
26/2/2021;15:04:01;90;1,2;108;32,8;3000;239;;1;;
26/2/2021;15:04:02;90;1,4;126;32,3;2925;246;;1;;
26/2/2021;15:04:03;90;1,3;117;32,7;3000;247;;1;;
26/2/2021;15:04:04;90;1,2;108;32,8;3125;250;;1;;
26/2/2021;15:04:05;90;1,3;117;32,5;3000;249;;1;;
26/2/2021;15:04:06;90;1,3;117;33,1;3100;247;;1;;
26/2/2021;15:04:07;90;1,4;126;32,1;2950;245;;1;;
26/2/2021;15:04:08;90;1,2;108;33,1;3000;255;;1;;
26/2/2021;15:04:09;90;1,3;117;32,1;2950;265;;1;;
26/2/2021;15:04:10;90;1,4;126;33,1;3000;245;;1;;
26/2/2021;15:04:11;90;1,3;117;33,5;3125;274;;1;;
26/2/2021;15:04:12;90;1,4;126;33,1;3000;250;;1;;
26/2/2021;15:04:13;90;1,2;108;32,3;3100;249;;1;;
26/2/2021;15:04:14;90;1,4;126;32,7;2950;247;;1;;
26/2/2021;15:04:15;90;1,3;117;32,8;3000;245;;1;;
26/2/2021;15:04:16;90;1,2;108;32,3;3195;255;;1;;
26/2/2021;15:04:17;90;1,3;117;32,7;2900;265;;1;;
26/2/2021;15:04:18;90;1,3;117;32,8;2950;245;;1;;
26/2/2021;15:04:19;90;1,4;126;32,8;3000;274;;1;;
26/2/2021;15:04:20;90;1,2;108;32,3;3125;239;;1;;
26/2/2021;15:04:21;90;1,4;126;32,7;3000;246;;1;;
26/2/2021;15:04:22;90;1,2;108;32,8;3100;247;;1;;
26/2/2021;15:04:23;90;1,4;126;32,3;2950;250;;1;;
26/2/2021;15:04:24;90;1,3;117;32,7;3000;249;;1;;
26/2/2021;15:04:25;90;1,2;108;32,8;2925;247;;1;;
26/2/2021;15:04:26;90;1,3;117;32,5;3000;245;;1;;
26/2/2021;15:04:27;90;1,2;108;33,1;3125;255;;1;;
26/2/2021;15:04:28;90;1,4;126;32,1;3000;265;;1;;
26/2/2021;15:04:29;90;1,3;117;33,1;3100;245;;1;;
26/2/2021;15:04:30;90;1,2;108;32,1;2950;274;;1;;
26/2/2021;15:04:31;90;1,4;126;33,1;3000;239;;1;;
26/2/2021;15:04:32;90;1,3;117;32,8;2950;246;;1;;
26/2/2021;15:04:33;90;1,4;126;32,8;3000;247;;1;;
26/2/2021;15:04:34;90;1,3;117;32,3;3125;250;;1;;
26/2/2021;15:04:35;90;1,4;126;32,7;3000;249;;1;;
26/2/2021;15:04:36;90;1,2;108;32,8;3100;247;;1;;
26/2/2021;15:04:37;90;1,4;126;32,3;2950;245;;1;;
26/2/2021;15:04:38;90;1,3;117;32,7;3000;255;;1;;
26/2/2021;15:04:39;90;1,2;108;32,8;2925;265;;1;;
26/2/2021;15:04:40;90;1,3;117;32,5;3000;245;;1;;
26/2/2021;15:04:41;90;1,3;117;33,1;2900;274;;1;;
26/2/2021;15:04:42;90;1,4;126;32,1;2950;239;;1;;
26/2/2021;15:04:43;90;1,2;108;33,1;3000;246;;1;;
26/2/2021;15:04:44;90;1,4;126;32,1;3125;247;;1;;
26/2/2021;15:04:45;90;1,2;108;33,1;3000;250;;1;;
26/2/2021;15:04:46;90;1,4;126;31,8;3185;249;;1;;
26/2/2021;15:04:47;90;1,3;117;31,9;3195;247;;1;;
26/2/2021;15:04:48;90;1,2;108;32,5;3200;245;;1;;
26/2/2021;15:04:49;90;1,3;117;32,7;3225;255;;1;;
26/2/2021;15:04:50;90;1,1;99;32,8;3195;265;;1;;
26/2/2021;15:04:51;90;1,4;126;33,5;3185;245;;1;;
26/2/2021;15:04:52;90;1,2;108;33,1;3200;274;;1;;
26/2/2021;15:04:53;90;1,4;126;32,3;3195;250;;1;;
26/2/2021;15:04:54;90;1,3;117;32,7;2950;249;;1;;
26/2/2021;15:04:55;90;1,2;108;32,8;3000;247;;1;;
26/2/2021;15:04:56;90;1,3;117;32,3;3125;245;;1;;
26/2/2021;15:04:57;90;1,3;117;32,7;3000;255;;1;;
26/2/2021;15:04:58;90;1,4;126;32,8;3100;265;;1;;
26/2/2021;15:04:59;90;1,2;108;32,3;2950;245;;1;;
26/2/2021;15:05:00;90;1,3;117;32,7;3000;274;;1;;
26/2/2021;15:05:01;90;1,4;126;32,8;2925;239;;1;;
26/2/2021;15:05:02;90;1,4;126;32,5;3000;246;;1;;
26/2/2021;15:05:03;90;1,1;99;33,1;3125;247;;1;;
26/2/2021;15:05:04;90;1,4;126;32,1;3000;250;;1;;
26/2/2021;15:05:05;90;1,2;108;32,7;3100;249;;1;;
26/2/2021;15:05:06;90;1,4;126;33,5;2950;247;;1;;
26/2/2021;15:05:07;90;1,3;117;33,1;3000;245;;1;;
26/2/2021;15:05:08;90;1,2;108;32,3;2950;255;;1;;
26/2/2021;15:05:09;90;1,1;99;32,7;3000;265;;1;;
26/2/2021;15:05:10;90;1,4;126;32,8;3125;245;;1;;
26/2/2021;15:05:11;90;1,3;117;32,3;3000;274;;1;;
26/2/2021;15:05:12;90;1,2;108;32,7;3100;239;;1;;
26/2/2021;15:05:13;90;1,4;126;32,8;2950;246;;1;;
26/2/2021;15:05:14;90;1,3;117;32,3;3000;247;;1;;
26/2/2021;15:05:15;90;1,4;126;32,7;2925;250;;1;;
26/2/2021;15:05:16;90;1,3;117;32,8;3000;249;;1;;
26/2/2021;15:05:17;90;1,4;126;32,5;2900;247;;1;;
26/2/2021;15:05:18;90;1,2;108;33,1;2950;245;;1;;
26/2/2021;15:05:19;90;1,4;126;32,1;3000;255;;1;;
26/2/2021;15:05:20;90;1,3;117;32,8;3125;265;;1;;
26/2/2021;15:05:21;90;1,2;108;32,3;3000;245;;1;;
26/2/2021;15:05:22;90;1,3;117;32,7;3100;274;;1;;
26/2/2021;15:05:23;90;1,3;117;32,8;2950;239;;1;;
26/2/2021;15:05:24;90;1,4;126;32,5;3000;246;;1;;
26/2/2021;15:05:25;90;1,2;108;33,1;2925;247;;1;;
26/2/2021;15:05:26;90;1,4;126;32,1;3000;250;;1;;
26/2/2021;15:05:27;90;1,2;108;32,9;3125;249;;1;;
26/2/2021;15:05:28;90;1,4;126;31,9;3000;247;;1;;
26/2/2021;15:05:29;90;1,3;117;32,5;3100;245;;1;;
26/2/2021;15:05:30;90;1,2;108;33,1;2950;255;;1;;
26/2/2021;15:05:31;90;1,3;117;32,1;3000;265;;1;;
26/2/2021;15:05:32;90;1,1;99;32,7;2950;245;;1;;
26/2/2021;15:05:33;90;1,4;126;33,5;3000;274;;1;;
26/2/2021;15:05:34;90;1,2;108;33,1;3125;250;;1;;
26/2/2021;15:05:35;90;1,4;126;32,3;3000;249;;1;;
26/2/2021;15:05:36;90;1,3;117;32,7;3100;247;;1;;
26/2/2021;15:05:37;90;1,2;108;32,8;2950;245;;1;;
26/2/2021;15:05:38;90;1,3;117;32,3;3000;255;;1;;
26/2/2021;15:05:39;90;1,3;117;32,7;3195;265;;1;;
26/2/2021;15:05:40;90;1,4;126;32,8;3190;245;;1;;
26/2/2021;15:05:41;90;1,2;108;32,3;3185;274;;1;;
26/2/2021;15:05:42;90;1,3;117;32,7;3195;239;;1;;
26/2/2021;15:05:43;90;1,4;126;32,8;3200;246;;1;;
26/2/2021;15:05:44;90;1,3;117;32,5;2900;247;;1;;
26/2/2021;15:05:45;90;1,4;126;33,1;2950;250;;1;;
26/2/2021;15:05:46;90;1,2;108;32,1;3000;249;;1;;
26/2/2021;15:05:47;90;1,4;126;32,5;3125;247;;1;;
26/2/2021;15:05:48;90;1,3;117;33,1;3000;245;;1;;
26/2/2021;15:05:49;90;1,2;108;32,1;3100;255;;1;;
26/2/2021;15:05:50;90;1,3;117;32,1;2950;265;;1;;
26/2/2021;15:05:51;90;1,3;117;32,7;3000;245;;1;;
26/2/2021;15:05:52;90;1,4;126;32,3;2925;274;;1;;
26/2/2021;15:05:53;90;1,2;108;31,7;3000;239;;1;;
26/2/2021;15:05:54;90;1,4;126;31,8;3125;246;;1;;
26/2/2021;15:05:55;90;1,2;108;31,9;3000;247;;1;;
26/2/2021;15:05:56;90;1,4;126;32,5;3100;250;;1;;
26/2/2021;15:05:57;90;1,3;117;32,7;2950;249;;1;;
26/2/2021;15:05:58;90;1,2;108;33,5;3000;247;;1;;
26/2/2021;15:05:59;90;1,3;117;33,1;2950;245;;1;;
26/2/2021;15:06:00;90;1,2;108;32,3;3000;255;;1;;
26/2/2021;15:06:01;90;1,4;126;32,7;3125;265;;1;;
26/2/2021;15:06:02;90;1,3;117;32,8;3000;245;;1;;
26/2/2021;15:06:03;90;1,2;108;32,3;3100;274;;1;;
26/2/2021;15:06:04;90;1,4;126;32,7;2950;239;;1;;
26/2/2021;15:06:05;90;1,3;117;32,8;3000;246;;1;;
26/2/2021;15:06:06;90;1,4;126;32,3;3195;247;;1;;
26/2/2021;15:06:07;90;1,3;117;32,7;2900;250;;1;;
26/2/2021;15:06:08;90;1,4;126;32,8;2950;249;;1;;
26/2/2021;15:06:09;90;1,2;108;32,5;3000;247;;1;;
26/2/2021;15:06:10;90;1,4;126;33,1;3125;245;;1;;
26/2/2021;15:06:11;90;1,3;117;32,1;3000;255;;1;;
26/2/2021;15:06:12;90;1,2;108;32,9;3100;265;;1;;
26/2/2021;15:06:13;90;1,3;117;31,9;2950;245;;1;;
26/2/2021;15:06:14;90;1,3;117;32,5;3000;274;;1;;
26/2/2021;15:06:15;90;1,4;126;33,1;2925;221;;1;;
26/2/2021;15:06:16;90;1,2;108;32,1;3000;225;;1;;
26/2/2021;15:06:17;90;1,4;126;33,1;3125;250;;1;;
26/2/2021;15:06:18;90;1,2;108;33,5;3000;249;;1;;
26/2/2021;15:06:19;90;1,4;126;33,1;3100;247;;1;;
26/2/2021;15:06:20;90;1,3;117;32,3;2950;245;;1;;
26/2/2021;15:06:21;90;1,2;108;32,7;3000;255;;1;;
26/2/2021;15:06:22;90;1,3;117;32,8;2950;265;;1;;
26/2/2021;15:06:23;90;1,1;99;32,3;3000;245;;1;;
26/2/2021;15:06:24;90;1,4;126;32,7;3125;274;;1;;
26/2/2021;15:06:25;90;1,2;108;32,8;3000;239;;1;;
26/2/2021;15:06:26;90;1,4;126;32,3;3100;246;;1;;
26/2/2021;15:06:27;90;1,3;117;32,7;2950;247;;1;;
26/2/2021;15:06:28;90;1,2;108;32,8;3000;250;;1;;
26/2/2021;15:06:29;90;1,3;117;32,5;2925;249;;1;;
26/2/2021;15:06:30;90;1,3;117;33,1;3000;247;;1;;
26/2/2021;15:06:31;90;1,4;126;32,1;2900;245;;1;;
