#NUM;$FECHA;$HORA;$RPM;$CORR;$TEMP;$VIB;;
74;21/12/2020;10:01:13;2900;0,89;29,3;0,07;;
75;21/12/2020;10:01:14;2800;0,89;29,1;0,05;;
76;21/12/2020;10:01:15;2750;0,89;29,1;0,07;;
77;21/12/2020;10:01:16;2900;0,89;29,3;0,11;;
78;21/12/2020;10:01:17;2850;0,89;29,1;0,08;;
79;21/12/2020;10:01:18;2950;0,89;29,3;0,05;;
80;21/12/2020;10:01:19;3000;0,88;29,3;0,03;;
81;21/12/2020;10:01:20;2950;0,89;29,5;0,4;;
82;21/12/2020;10:01:21;2850;0,87;29,3;0,02;;
83;21/12/2020;10:01:22;2800;0,89;29,5;0,03;;
84;21/12/2020;10:01:23;2925;0,89;29,3;0,04;;
85;21/12/2020;10:01:24;2850;0,87;29,1;0,03;;
86;21/12/2020;10:01:25;2900;0,89;29,1;0,03;;
87;21/12/2020;10:01:26;2925;0,87;29,3;0,03;;
88;21/12/2020;10:01:27;3000;0,87;29,1;0,02;;
89;21/12/2020;10:01:28;2800;0,87;29,3;0,03;;
90;21/12/2020;10:01:29;2925;0,87;29,3;0,11;;
91;21/12/2020;10:01:30;2900;0,87;29,5;0,03;;
92;21/12/2020;10:01:31;2800;0,87;29,3;0,04;;
93;21/12/2020;10:01:32;2750;0,87;29,5;0,03;;
94;21/12/2020;10:01:33;2900;0,87;29,3;0,03;;
95;21/12/2020;10:01:34;2850;0,87;28,3;0,03;;
96;21/12/2020;10:01:35;2800;0,87;28,1;0,02;;
97;21/12/2020;10:01:36;2925;0,87;28,3;0,03;;
98;21/12/2020;10:01:37;2850;0,87;28,3;0,02;;
99;21/12/2020;10:01:38;2950;0,87;28,3;0,03;;
100;21/12/2020;10:01:39;3000;0,87;28,3;0,05;;
101;21/12/2020;10:01:40;2950;0,87;28,5;0,09;;
102;21/12/2020;10:01:41;2850;0,87;28,1;0,2;;
103;21/12/2020;10:01:42;2800;0,87;28,3;0,08;;
104;21/12/2020;10:01:43;2925;0,82;28,5;0,05;;
105;21/12/2020;10:01:44;2850;0,82;29,3;0,04;;
106;21/12/2020;10:01:45;2950;0,82;29,1;0,05;;
107;21/12/2020;10:01:46;2950;0,82;29,3;0,07;;
108;21/12/2020;10:01:47;2800;0,83;29,3;0,04;;
109;21/12/2020;10:01:48;2925;0,83;26,6;0,03;;
110;21/12/2020;10:01:49;2900;0,83;28,3;0,02;;
111;21/12/2020;10:01:50;2800;0,83;28,1;0,05;;
112;21/12/2020;10:01:51;2750;0,83;28,5;0,05;;
113;21/12/2020;10:01:52;2900;0,82;28,3;0,09;;
114;21/12/2020;10:01:53;2850;0,82;28,1;0,11;;
115;21/12/2020;10:01:54;2950;0,82;28,3;0,07;;
116;21/12/2020;10:01:55;3000;0,83;28,5;0,07;;
117;21/12/2020;10:01:56;2900;0,83;29,3;0,05;;
118;21/12/2020;10:01:57;2925;0,83;29,1;0,07;;
119;21/12/2020;10:01:58;3000;0,83;29,3;0,11;;
120;21/12/2020;10:01:59;2800;0,83;28,9;0,08;;
121;21/12/2020;10:02:00;2925;0,83;29,1;0,05;;
122;21/12/2020;10:02:01;2900;0,82;29,3;0,03;;
123;21/12/2020;10:02:02;2800;0,82;29,3;0,4;;
124;21/12/2020;10:02:03;2750;0,82;29,5;0,02;;
125;21/12/2020;10:02:04;2900;0,83;29,3;0,03;;
126;21/12/2020;10:02:05;2850;0,83;29,3;0,04;;
127;21/12/2020;10:02:06;2800;0,83;29,5;0,03;;
128;21/12/2020;10:02:07;2925;0,82;29,3;0,03;;
129;21/12/2020;10:02:08;2850;0,83;29,1;0,03;;
130;21/12/2020;10:02:09;2950;0,83;29,1;0,02;;
131;21/12/2020;10:02:10;3000;0,83;29,3;0,03;;
132;21/12/2020;10:02:11;2950;0,87;29,1;0,11;;
133;21/12/2020;10:02:12;2850;0,82;29,3;0,03;;
134;21/12/2020;10:02:13;2800;0,82;29,3;0,04;;
135;21/12/2020;10:02:14;2925;0,82;29,5;0,03;;
136;21/12/2020;10:02:15;2850;0,83;29,3;0,03;;
137;21/12/2020;10:02:16;2950;0,83;29,5;0,03;;
138;21/12/2020;10:02:17;3000;0,83;29,3;0,02;;
139;21/12/2020;10:02:18;2950;0,82;29,1;0,03;;
140;21/12/2020;10:02:19;2800;0,83;29,1;0,02;;
141;21/12/2020;10:02:20;2925;0,83;29,3;0,03;;
142;21/12/2020;10:02:21;2900;0,83;29,1;0,05;;
143;21/12/2020;10:02:22;2800;0,83;29,3;0,09;;
144;21/12/2020;10:02:23;2750;0,83;29,3;0,2;;
145;21/12/2020;10:02:24;2900;0,83;29,5;0,08;;
146;21/12/2020;10:02:25;2850;0,82;29,3;0,05;;
147;21/12/2020;10:02:26;2950;0,82;29,5;0,04;;
148;21/12/2020;10:02:27;3000;0,82;29,3;0,05;;
149;21/12/2020;10:02:28;2950;0,83;28,3;0,07;;
150;21/12/2020;10:02:29;2850;0,83;28,1;0,04;;
151;21/12/2020;10:02:30;2800;0,83;28,3;0,03;;
152;21/12/2020;10:02:31;2925;0,82;28,3;0,02;;
153;21/12/2020;10:02:32;2850;0,83;28,3;0,05;;
154;21/12/2020;10:02:33;2950;0,83;28,3;0,05;;
155;21/12/2020;10:02:34;3000;0,83;28,5;0,09;;
156;21/12/2020;10:02:35;2950;0,87;28,1;0,11;;
157;21/12/2020;10:02:36;2800;0,82;28,3;0,07;;
158;21/12/2020;10:02:37;2925;0,82;28,5;0,07;;
159;21/12/2020;10:02:38;2900;0,82;29,3;0,09;;
160;21/12/2020;10:02:39;2800;0,83;29,1;0,04;;
161;21/12/2020;10:02:40;2750;0,83;29,3;0,07;;
162;21/12/2020;10:02:41;2900;0,83;29,3;0,05;;
163;21/12/2020;10:02:42;3000;0,83;28,3;0,07;;
164;21/12/2020;10:02:43;2950;0,83;28,5;0,11;;
165;21/12/2020;10:02:44;2800;0,87;29,3;0,08;;
166;21/12/2020;10:02:45;2925;0,82;29,1;0,05;;
167;21/12/2020;10:02:46;2900;0,82;29,3;0,03;;
168;21/12/2020;10:02:47;2800;0,82;28,9;0,4;;
169;21/12/2020;10:02:48;2750;0,83;29,1;0,02;;
170;21/12/2020;10:02:49;2900;0,83;29,3;0,03;;
171;21/12/2020;10:02:50;3000;0,83;29,3;0,04;;
172;21/12/2020;10:02:51;2950;0,82;29,5;0,03;;
173;21/12/2020;10:02:52;2800;0,83;29,3;0,03;;
174;21/12/2020;10:02:53;3000;0,83;29,3;0,03;;
175;21/12/2020;10:02:54;3000;0,83;29,5;0,02;;
176;21/12/2020;10:02:55;3000;0,83;29,3;0,03;;
177;21/12/2020;10:02:56;2850;0,83;29,1;0,11;;
178;21/12/2020;10:02:57;2950;0,83;29,1;0,03;;
179;21/12/2020;10:02:58;3000;0,82;29,3;0,04;;
180;21/12/2020;10:02:59;2950;0,83;29,1;0,03;;
181;21/12/2020;10:03:00;2850;0,83;29,3;0,03;;
182;21/12/2020;10:03:01;2800;0,83;29,3;0,03;;
183;21/12/2020;10:03:02;2925;0,83;29,5;0,02;;
184;21/12/2020;10:03:03;2900;0,83;29,3;0,03;;
185;21/12/2020;10:03:04;2850;0,83;29,5;0,02;;
186;21/12/2020;10:03:05;2800;0,82;29,3;0,03;;
187;21/12/2020;10:03:06;2925;0,82;29,1;0,05;;
188;21/12/2020;10:03:07;2850;0,82;29,1;0,09;;
189;21/12/2020;10:03:08;2950;0,83;29,3;0,2;;
190;21/12/2020;10:03:09;3000;0,83;29,1;0,08;;
191;21/12/2020;10:03:10;2950;0,83;29,3;0,05;;
192;21/12/2020;10:03:11;2850;0,82;29,3;0,04;;
193;21/12/2020;10:03:12;2800;0,83;29,5;0,05;;
194;21/12/2020;10:03:13;2925;0,83;29,3;0,07;;
195;21/12/2020;10:03:14;2850;0,83;29,5;0,04;;
196;21/12/2020;10:03:15;2950;0,87;29,3;0,03;;
197;21/12/2020;10:03:16;2950;0,82;28,3;0,02;;
198;21/12/2020;10:03:17;2800;0,82;28,1;0,05;;
199;21/12/2020;10:03:18;2925;0,82;28,3;0,05;;
200;21/12/2020;10:03:19;2900;0,83;28,3;0,09;;
201;21/12/2020;10:03:20;2800;0,83;28,3;0,11;;
202;21/12/2020;10:03:21;2750;0,83;28,3;0,07;;
203;21/12/2020;10:03:22;2900;0,83;28,5;0,07;;
204;21/12/2020;10:03:23;2850;0,83;28,1;0,05;;
205;21/12/2020;10:03:24;2950;0,87;28,3;0,07;;
206;21/12/2020;10:03:25;3000;0,82;28,5;0,11;;
207;21/12/2020;10:03:26;2900;0,82;29,3;0,08;;
208;21/12/2020;10:03:27;2925;0,82;29,1;0,05;;
209;21/12/2020;10:03:28;3000;0,83;29,3;0,03;;
210;21/12/2020;10:03:29;2800;0,83;29,3;0,4;;
211;21/12/2020;10:03:30;2925;0,83;28,9;0,02;;
212;21/12/2020;10:03:31;2900;0,83;29,1;0,03;;
213;21/12/2020;10:03:32;2800;0,83;29,3;0,04;;
214;21/12/2020;10:03:33;2750;0,83;29,3;0,03;;
215;21/12/2020;10:03:34;2900;0,87;29,5;0,03;;
216;21/12/2020;10:03:35;2850;0,82;29,3;0,03;;
217;21/12/2020;10:03:36;2800;0,82;29,3;0,02;;
218;21/12/2020;10:03:37;2925;0,82;29,5;0,03;;
219;21/12/2020;10:03:38;2850;0,83;29,3;0,11;;
220;21/12/2020;10:03:39;2950;0,83;29,1;0,03;;
221;21/12/2020;10:03:40;2900;0,82;29,1;0,04;;
222;21/12/2020;10:03:41;2850;0,83;29,3;0,03;;
223;21/12/2020;10:03:42;2800;0,83;29,1;0,03;;
224;21/12/2020;10:03:43;2925;0,83;29,3;0,03;;
225;21/12/2020;10:03:44;2850;0,83;29,3;0,02;;
226;21/12/2020;10:03:45;2950;0,83;29,5;0,03;;
227;21/12/2020;10:03:46;3000;0,83;29,3;0,02;;
228;21/12/2020;10:03:47;2950;0,82;29,5;0,03;;
229;21/12/2020;10:03:48;2850;0,82;29,3;0,05;;
230;21/12/2020;10:03:49;2800;0,82;29,1;0,09;;
231;21/12/2020;10:03:50;2925;0,83;29,1;0,2;;
232;21/12/2020;10:03:51;2850;0,83;29,3;0,08;;
233;21/12/2020;10:03:52;2950;0,83;29,1;0,05;;
234;21/12/2020;10:03:53;2950;0,82;29,3;0,04;;
235;21/12/2020;10:03:54;2800;0,83;29,3;0,05;;
236;21/12/2020;10:03:55;2925;0,83;29,5;0,07;;
237;21/12/2020;10:03:56;2900;0,83;29,3;0,04;;
238;21/12/2020;10:03:57;2800;0,87;29,5;0,03;;
239;21/12/2020;10:03:58;2750;0,82;29,3;0,02;;
240;21/12/2020;10:03:59;2900;0,82;28,3;0,05;;
241;21/12/2020;10:04:00;2850;0,82;28,1;0,05;;
242;21/12/2020;10:04:01;2950;0,83;28,3;0,09;;
243;21/12/2020;10:04:02;3000;0,83;28,3;0,11;;
244;21/12/2020;10:04:03;2900;0,83;28,3;0,07;;
245;21/12/2020;10:04:04;2925;0,83;28,3;0,07;;
246;21/12/2020;10:04:05;3000;0,83;28,5;0,05;;
247;21/12/2020;10:04:06;2800;0,87;28,1;0,07;;
248;21/12/2020;10:04:07;2925;0,82;28,3;0,09;;
249;21/12/2020;10:04:08;2900;0,82;28,5;0,11;;
250;21/12/2020;10:04:09;2800;0,82;29,3;0,03;;
251;21/12/2020;10:04:10;2750;0,83;29,1;0,04;;
252;21/12/2020;10:04:11;2900;0,83;29,3;0,05;;
253;21/12/2020;10:04:12;2850;0,83;29,3;0,07;;
254;21/12/2020;10:04:13;2800;0,82;28,3;0,04;;
255;21/12/2020;10:04:14;2925;0,83;28,5;0,03;;
256;21/12/2020;10:04:15;2850;0,83;29,3;0,02;;
257;21/12/2020;10:04:16;2950;0,83;29,1;0,05;;
258;21/12/2020;10:04:17;2900;0,83;29,3;0,05;;
259;21/12/2020;10:04:18;2925;0,83;28,9;0,09;;
260;21/12/2020;10:04:19;3000;0,83;29,1;0,11;;
261;21/12/2020;10:04:20;2800;0,82;29,3;0,07;;
262;21/12/2020;10:04:21;2925;0,83;29,3;0,09;;
263;21/12/2020;10:04:22;2900;0,83;29,5;0,04;;
264;21/12/2020;10:04:23;2800;0,83;29,3;0,07;;
265;21/12/2020;10:04:24;2750;0,83;29,3;0,05;;
266;21/12/2020;10:04:25;2900;0,83;29,5;0,07;;
267;21/12/2020;10:04:26;2850;0,83;29,3;0,11;;
268;21/12/2020;10:04:27;2800;0,82;29,1;0,08;;
269;21/12/2020;10:04:28;2925;0,82;29,1;0,05;;
270;21/12/2020;10:04:29;2850;0,82;29,3;0,03;;
271;21/12/2020;10:04:30;2950;0,83;29,1;0,4;;
272;21/12/2020;10:04:31;3000;0,83;29,3;0,02;;
273;21/12/2020;10:04:32;2950;0,83;29,3;0,03;;
274;21/12/2020;10:04:33;2850;0,82;29,5;0,04;;
275;21/12/2020;10:04:34;2800;0,83;29,3;0,03;;
276;21/12/2020;10:04:35;2925;0,83;29,5;0,03;;
277;21/12/2020;10:04:36;2850;0,83;29,3;0,03;;
278;21/12/2020;10:04:37;2950;0,87;29,1;0,02;;
279;21/12/2020;10:04:38;3000;0,82;29,1;0,07;;
280;21/12/2020;10:04:39;2950;0,82;29,3;0,02;;
281;21/12/2020;10:04:40;2800;0,82;29,1;0,05;;
282;21/12/2020;10:04:41;2925;0,83;29,3;0,02;;
283;21/12/2020;10:04:42;2900;0,83;29,3;0,02;;
284;21/12/2020;10:04:43;2800;0,83;29,5;0,03;;
285;21/12/2020;10:04:44;2750;0,83;29,3;0,03;;
286;21/12/2020;10:04:45;2900;0,83;29,5;0,03;;
287;21/12/2020;10:04:46;2850;0,87;29,3;0,04;;
288;21/12/2020;10:04:47;2950;0,82;28,3;0,06;;
289;21/12/2020;10:04:48;3000;0,82;28,1;0,03;;
290;21/12/2020;10:04:49;2950;0,82;28,3;0,11;;
291;21/12/2020;10:04:50;2850;0,83;28,3;0,03;;
292;21/12/2020;10:04:51;2800;0,83;28,3;0,04;;
293;21/12/2020;10:04:52;2925;0,83;28,3;0,03;;
294;21/12/2020;10:04:53;3000;0,83;28,5;0,03;;
295;21/12/2020;10:04:54;2900;0,83;28,1;0,03;;
296;21/12/2020;10:04:55;2925;0,83;28,3;0,02;;
297;21/12/2020;10:04:56;3000;0,87;28,5;0,03;;
298;21/12/2020;10:04:57;2800;0,82;29,3;0,02;;
299;21/12/2020;10:04:58;2925;0,82;29,1;0,03;;
300;21/12/2020;10:04:59;2900;0,82;29,3;0,05;;
301;21/12/2020;10:05:00;2800;0,83;29,3;0,09;;
302;21/12/2020;10:05:01;2750;0,82;26,6;0,2;;
303;21/12/2020;10:05:02;2900;0,82;28,3;0,08;;
304;21/12/2020;10:05:03;2850;0,82;28,1;0,05;;
305;21/12/2020;10:05:04;2800;0,82;28,5;0,04;;
306;21/12/2020;10:05:05;2925;0,83;28,3;0,05;;
307;21/12/2020;10:05:06;2850;0,83;28,1;0,07;;
308;21/12/2020;10:05:07;2950;0,83;28,3;0,04;;
309;21/12/2020;10:05:08;2900;0,83;28,5;0,03;;
310;21/12/2020;10:05:09;3000;0,83;29,3;0,02;;
311;21/12/2020;10:05:10;2950;0,82;29,1;0,05;;
312;21/12/2020;10:05:11;2850;0,82;29,3;0,05;;
313;21/12/2020;10:05:12;2800;0,82;28,9;0,09;;
314;21/12/2020;10:05:13;2925;0,83;29,1;0,11;;
315;21/12/2020;10:05:14;2850;0,83;29,3;0,07;;
316;21/12/2020;10:05:15;2950;0,83;29,3;0,09;;
317;21/12/2020;10:05:16;3000;0,83;29,5;0,04;;
318;21/12/2020;10:05:17;2950;0,83;29,3;0,07;;
319;21/12/2020;10:05:18;2800;0,83;29,3;0,05;;
320;21/12/2020;10:05:19;2925;0,82;29,5;0,07;;
321;21/12/2020;10:05:20;2900;0,82;29,3;0,11;;
322;21/12/2020;10:05:21;2800;0,82;29,1;0,08;;
323;21/12/2020;10:05:22;2750;0,83;29,1;0,05;;
324;21/12/2020;10:05:23;2900;0,83;29,3;0,03;;
325;21/12/2020;10:05:24;2850;0,83;29,1;0,4;;
326;21/12/2020;10:05:25;2950;0,82;29,3;0,02;;
327;21/12/2020;10:05:26;3000;0,83;29,3;0,03;;
328;21/12/2020;10:05:27;2950;0,83;29,5;0,04;;
329;21/12/2020;10:05:28;2850;0,83;29,3;0,03;;
330;21/12/2020;10:05:29;2800;0,87;28,3;0,03;;
331;21/12/2020;10:05:30;2925;0,87;28,1;0,03;;
332;21/12/2020;10:05:31;3000;0,89;28,3;0,02;;
333;21/12/2020;10:05:32;2900;0,89;28,5;0,03;;
334;21/12/2020;10:05:33;2925;0,89;29,3;0,11;;
335;21/12/2020;10:05:34;3000;0,89;29,1;0,03;;
336;21/12/2020;10:05:35;2800;0,89;29,3;0,04;;
337;21/12/2020;10:05:36;2925;0,89;28,9;0,03;;
338;21/12/2020;10:05:37;2900;0,88;29,1;0,03;;
339;21/12/2020;10:05:38;2800;0,89;29,3;0,03;;
340;21/12/2020;10:05:39;2750;0,87;29,3;0,02;;
341;21/12/2020;10:05:40;2900;0,89;29,5;0,03;;
342;21/12/2020;10:05:41;2850;0,89;29,3;0,02;;
343;21/12/2020;10:05:42;2800;0,87;29,3;0,03;;
344;21/12/2020;10:05:43;2925;0,89;29,5;0,05;;
345;21/12/2020;10:05:44;2850;0,87;29,3;0,09;;
346;21/12/2020;10:05:45;2950;0,87;29,1;0,2;;
347;21/12/2020;10:05:46;2900;0,87;29,1;0,08;;
348;21/12/2020;10:05:47;3000;0,87;29,3;0,05;;
349;21/12/2020;10:05:48;2950;0,87;29,1;0,04;;
350;21/12/2020;10:05:49;2850;0,87;29,3;0,05;;
351;21/12/2020;10:05:50;2800;0,87;29,3;0,07;;
352;21/12/2020;10:05:51;2925;0,87;29,5;0,04;;
353;21/12/2020;10:05:52;2850;0,87;29,3;0,03;;
354;21/12/2020;10:05:53;2950;0,87;29,5;0,02;;
355;21/12/2020;10:05:54;3000;0,87;29,3;0,05;;
356;21/12/2020;10:05:55;2950;0,87;29,1;0,05;;
357;21/12/2020;10:05:56;2800;0,87;29,1;0,09;;
358;21/12/2020;10:05:57;2925;0,87;29,3;0,11;;
359;21/12/2020;10:05:58;2900;0,87;29,1;0,07;;
360;21/12/2020;10:05:59;2800;0,87;29,3;0,07;;
361;21/12/2020;10:06:00;2750;0,87;29,3;0,05;;
362;21/12/2020;10:06:01;2900;0,83;29,5;0,07;;
363;21/12/2020;10:06:02;2850;0,82;29,3;0,11;;
364;21/12/2020;10:06:03;2950;0,82;29,5;0,08;;
365;21/12/2020;10:06:04;3000;0,82;29,3;0,05;;
366;21/12/2020;10:06:05;2950;0,83;28,3;0,03;;
367;21/12/2020;10:06:06;2850;0,83;28,1;0,4;;
368;21/12/2020;10:06:07;2800;0,83;28,3;0,02;;
369;21/12/2020;10:06:08;2925;0,82;28,3;0,03;;
370;21/12/2020;10:06:09;3000;0,83;28,3;0,04;;
371;21/12/2020;10:06:10;2900;0,83;28,3;0,03;;
372;21/12/2020;10:06:11;2925;0,83;28,5;0,03;;
373;21/12/2020;10:06:12;3000;0,87;28,1;0,03;;
374;21/12/2020;10:06:13;2800;0,87;28,3;0,02;;
375;21/12/2020;10:06:14;2925;0,89;28,5;0,03;;
376;21/12/2020;10:06:15;2900;0,89;29,3;0,11;;
377;21/12/2020;10:06:16;2800;0,89;29,1;0,03;;
378;21/12/2020;10:06:17;2750;0,89;29,3;0,04;;
379;21/12/2020;10:06:18;2900;0,89;29,3;0,03;;
380;21/12/2020;10:06:19;2850;0,89;28,3;0,03;;
381;21/12/2020;10:06:20;2800;0,88;28,5;0,03;;
382;21/12/2020;10:06:21;2925;0,89;29,3;0,02;;
383;21/12/2020;10:06:22;2850;0,87;29,1;0,03;;
384;21/12/2020;10:06:23;2950;0,89;29,3;0,02;;
385;21/12/2020;10:06:24;2900;0,89;28,9;0,03;;
386;21/12/2020;10:06:25;3000;0,87;29,1;0,05;;
387;21/12/2020;10:06:26;2950;0,89;29,3;0,09;;
388;21/12/2020;10:06:27;2850;0,87;29,3;0,2;;
389;21/12/2020;10:06:28;2800;0,87;29,5;0,08;;
390;21/12/2020;10:06:29;2925;0,87;29,3;0,05;;
391;21/12/2020;10:06:30;2850;0,87;29,3;0,04;;
392;21/12/2020;10:06:31;2950;0,87;29,5;0,05;;
393;21/12/2020;10:06:32;3000;0,87;29,3;0,07;;
394;21/12/2020;10:06:33;2950;0,87;29,1;0,04;;
395;21/12/2020;10:06:34;2800;0,87;29,1;0,03;;
396;21/12/2020;10:06:35;2925;0,87;29,3;0,02;;
397;21/12/2020;10:06:36;2900;0,87;29,1;0,05;;
398;21/12/2020;10:06:37;2800;0,87;29,3;0,05;;
399;21/12/2020;10:06:38;2750;0,87;29,3;0,09;;
400;21/12/2020;10:06:39;2900;0,87;29,5;0,11;;
401;21/12/2020;10:06:40;2850;0,87;29,3;0,07;;
402;21/12/2020;10:06:41;2950;0,87;29,5;0,07;;
403;21/12/2020;10:06:42;3000;0,87;29,3;0,09;;
404;21/12/2020;10:06:43;2950;0,87;29,1;0,04;;
405;21/12/2020;10:06:44;2850;0,82;29,1;0,07;;
406;21/12/2020;10:06:45;2800;0,82;29,3;0,05;;
407;21/12/2020;10:06:46;2925;0,82;29,1;0,07;;
408;21/12/2020;10:06:47;3000;0,82;29,3;0,11;;
409;21/12/2020;10:06:48;2900;0,83;29,3;0,08;;
410;21/12/2020;10:06:49;2925;0,83;29,5;0,05;;
411;21/12/2020;10:06:50;3000;0,83;29,3;0,03;;
412;21/12/2020;10:06:51;2800;0,83;29,5;0,4;;
413;21/12/2020;10:06:52;2925;0,83;29,3;0,02;;
414;21/12/2020;10:06:53;2900;0,82;28,3;0,03;;
415;21/12/2020;10:06:54;2800;0,82;28,1;0,04;;
416;21/12/2020;10:06:55;2750;0,82;28,3;0,03;;
417;21/12/2020;10:06:56;2900;0,83;28,3;0,03;;
418;21/12/2020;10:06:57;2850;0,83;28,3;0,03;;
419;21/12/2020;10:06:58;2800;0,83;28,3;0,02;;
420;21/12/2020;10:06:59;2925;0,83;28,5;0,03;;
421;21/12/2020;10:07:00;2850;0,83;28,1;0,11;;
422;21/12/2020;10:07:01;2950;0,83;28,3;0,03;;
423;21/12/2020;10:07:02;2900;0,82;28,5;0,04;;
424;21/12/2020;10:07:03;2900;0,82;29,3;0,03;;
425;21/12/2020;10:07:04;2925;0,82;29,1;0,03;;
426;21/12/2020;10:07:05;3000;0,83;29,3;0,03;;
427;21/12/2020;10:07:06;2800;0,83;29,3;0,02;;
428;21/12/2020;10:07:07;2925;0,83;26,6;0,03;;
429;21/12/2020;10:07:08;2900;0,82;28,3;0,02;;
430;21/12/2020;10:07:09;2800;0,83;28,1;0,03;;
431;21/12/2020;10:07:10;2750;0,83;28,5;0,05;;
432;21/12/2020;10:07:11;2900;0,83;28,3;0,09;;
433;21/12/2020;10:07:12;2850;0,87;28,1;0,2;;
434;21/12/2020;10:07:13;2800;0,82;28,3;0,08;;
435;21/12/2020;10:07:14;2925;0,82;28,5;0,05;;
